display,A,B,randomize_trials
Instructions1,,,
Trial,Cs4_Db4.wav,A4.wav,1
Trial,Cs4_Db4.wav,B4.wav,1
Trial,Cs4_Db4.wav,Cs5_Db5.wav,1
Trial,Cs4_Db4.wav,Ds4_Eb4.wav,1
Trial,Cs4_Db4.wav,C4.wav,1
Trial,Cs4_Db4.wav,C5.wav,1
Trial,Cs4_Db4.wav,Ds5_Eb5.wav,1
Trial,Cs4_Db4.wav,Fs4_Gb4.wav,1
Trial,Cs4_Db4.wav,D4.wav,1
Trial,Cs4_Db4.wav,D5.wav,1
Trial,Cs4_Db4.wav,E4.wav,1
Trial,Cs4_Db4.wav,Gs4_Ab4.wav,1
Trial,Cs4_Db4.wav,F4.wav,1
Trial,Cs4_Db4.wav,G4.wav,1
Trial,Cs4_Db4.wav,As4_Bb4.wav,1
Trial,A4.wav,B4.wav,1
Trial,A4.wav,Cs5_Db5.wav,1
Trial,A4.wav,Ds4_Eb4.wav,1
Trial,A4.wav,C4.wav,1
Trial,A4.wav,C5.wav,1
Trial,A4.wav,Ds5_Eb5.wav,1
Trial,A4.wav,Fs4_Gb4.wav,1
Trial,A4.wav,D4.wav,1
Trial,A4.wav,D5.wav,1
Trial,A4.wav,E4.wav,1
Trial,A4.wav,Gs4_Ab4.wav,1
Trial,A4.wav,F4.wav,1
Trial,A4.wav,G4.wav,1
Trial,A4.wav,As4_Bb4.wav,1
Trial,B4.wav,Cs5_Db5.wav,1
Trial,B4.wav,Ds4_Eb4.wav,1
Trial,B4.wav,C4.wav,1
Trial,B4.wav,C5.wav,1
Trial,B4.wav,Ds5_Eb5.wav,1
Trial,B4.wav,Fs4_Gb4.wav,1
Trial,B4.wav,D4.wav,1
Trial,B4.wav,D5.wav,1
Trial,B4.wav,E4.wav,1
Trial,B4.wav,Gs4_Ab4.wav,1
Trial,B4.wav,F4.wav,1
Trial,B4.wav,G4.wav,1
Trial,B4.wav,As4_Bb4.wav,1
Trial,Cs5_Db5.wav,Ds4_Eb4.wav,1
Trial,Cs5_Db5.wav,C4.wav,1
Trial,Cs5_Db5.wav,C5.wav,1
Trial,Cs5_Db5.wav,Ds5_Eb5.wav,1
Trial,Cs5_Db5.wav,Fs4_Gb4.wav,1
Trial,Cs5_Db5.wav,D4.wav,1
Trial,Cs5_Db5.wav,D5.wav,1
Trial,Cs5_Db5.wav,E4.wav,1
Trial,Cs5_Db5.wav,Gs4_Ab4.wav,1
Trial,Cs5_Db5.wav,F4.wav,1
Trial,Cs5_Db5.wav,G4.wav,1
Trial,Cs5_Db5.wav,As4_Bb4.wav,1
Trial,Ds4_Eb4.wav,C4.wav,1
Trial,Ds4_Eb4.wav,C5.wav,1
Trial,Ds4_Eb4.wav,Ds5_Eb5.wav,1
Trial,Ds4_Eb4.wav,Fs4_Gb4.wav,1
Trial,Ds4_Eb4.wav,D4.wav,1
Trial,Ds4_Eb4.wav,D5.wav,1
Trial,Ds4_Eb4.wav,E4.wav,1
Trial,Ds4_Eb4.wav,Gs4_Ab4.wav,1
Trial,Ds4_Eb4.wav,F4.wav,1
Trial,Ds4_Eb4.wav,G4.wav,1
Trial,Ds4_Eb4.wav,As4_Bb4.wav,1
Trial,C4.wav,C5.wav,1
Trial,C4.wav,Ds5_Eb5.wav,1
Trial,C4.wav,Fs4_Gb4.wav,1
Trial,C4.wav,D4.wav,1
Trial,C4.wav,D5.wav,1
Trial,C4.wav,E4.wav,1
Trial,C4.wav,Gs4_Ab4.wav,1
Trial,C4.wav,F4.wav,1
Trial,C4.wav,G4.wav,1
Trial,C4.wav,As4_Bb4.wav,1
Trial,C5.wav,Ds5_Eb5.wav,1
Trial,C5.wav,Fs4_Gb4.wav,1
Trial,C5.wav,D4.wav,1
Trial,C5.wav,D5.wav,1
Trial,C5.wav,E4.wav,1
Trial,C5.wav,Gs4_Ab4.wav,1
Trial,C5.wav,F4.wav,1
Trial,C5.wav,G4.wav,1
Trial,C5.wav,As4_Bb4.wav,1
Trial,Ds5_Eb5.wav,Fs4_Gb4.wav,1
Trial,Ds5_Eb5.wav,D4.wav,1
Trial,Ds5_Eb5.wav,D5.wav,1
Trial,Ds5_Eb5.wav,E4.wav,1
Trial,Ds5_Eb5.wav,Gs4_Ab4.wav,1
Trial,Ds5_Eb5.wav,F4.wav,1
Trial,Ds5_Eb5.wav,G4.wav,1
Trial,Ds5_Eb5.wav,As4_Bb4.wav,1
Trial,Fs4_Gb4.wav,D4.wav,1
Trial,Fs4_Gb4.wav,D5.wav,1
Trial,Fs4_Gb4.wav,E4.wav,1
Trial,Fs4_Gb4.wav,Gs4_Ab4.wav,1
Trial,Fs4_Gb4.wav,F4.wav,1
Trial,Fs4_Gb4.wav,G4.wav,1
Trial,Fs4_Gb4.wav,As4_Bb4.wav,1
Trial,D4.wav,D5.wav,1
Trial,D4.wav,E4.wav,1
Trial,D4.wav,Gs4_Ab4.wav,1
Trial,D4.wav,F4.wav,1
Trial,D4.wav,G4.wav,1
Trial,D4.wav,As4_Bb4.wav,1
Trial,D5.wav,E4.wav,1
Trial,D5.wav,Gs4_Ab4.wav,1
Trial,D5.wav,F4.wav,1
Trial,D5.wav,G4.wav,1
Trial,D5.wav,As4_Bb4.wav,1
Trial,E4.wav,Gs4_Ab4.wav,1
Trial,E4.wav,F4.wav,1
Trial,E4.wav,G4.wav,1
Trial,E4.wav,As4_Bb4.wav,1
Trial,Gs4_Ab4.wav,F4.wav,1
Trial,Gs4_Ab4.wav,G4.wav,1
Trial,Gs4_Ab4.wav,As4_Bb4.wav,1
Trial,F4.wav,G4.wav,1
Trial,F4.wav,As4_Bb4.wav,1
Trial,G4.wav,As4_Bb4.wav,1
Finish,,,
